,csp1,csp2,csp3
645,0.000,0.000,0.000
646,0.000,0.000,0.000
647,0.000,0.000,0.000
648,0.000,0.000,0.000
649,0.000,0.000,0.000
650,0.000,0.000,0.000
651,0.000,0.000,0.000
652,0.000,0.000,0.000
653,0.000,0.000,0.000
654,0.000,0.000,0.000
655,36.585,73.473,0.000
656,284.728,251.074,0.000
657,438.555,305.474,77.828
658,521.141,261.306,223.905
659,534.694,0.000,308.080
660,524.280,0.000,328.718
661,469.413,0.000,290.524
662,357.064,0.000,130.262
663,155.775,0.000,20.196
664,0.000,0.000,0.000
665,0.000,0.000,0.000
666,0.000,0.000,0.000
667,0.000,0.000,0.000
668,0.000,0.000,0.000
669,0.000,0.000,0.000
670,0.000,0.000,0.000
671,0.000,0.000,0.000
672,0.000,0.000,0.000
673,0.000,0.000,0.000
674,0.000,0.000,0.000
675,0.000,0.000,0.000
676,0.000,0.000,0.000
677,0.000,0.000,0.000
678,0.000,0.000,0.000
679,34.984,98.684,0.000
680,280.678,248.085,0.000
681,442.359,338.144,88.409
682,520.155,336.280,230.983
683,533.686,211.629,310.202
684,519.562,148.878,321.426
685,460.660,0.000,281.805
686,350.733,0.000,125.374
687,143.959,0.000,52.958
688,0.000,0.000,0.000
689,0.000,0.000,0.000
690,0.000,0.000,0.000
691,0.000,0.000,0.000
692,0.000,0.000,0.000
693,0.000,0.000,0.000
694,0.000,0.000,0.000
695,0.000,0.000,0.000
696,0.000,0.000,0.000
697,0.000,0.000,0.000
698,0.000,0.000,0.000
699,0.000,0.000,0.000
700,0.000,0.000,0.000
701,0.000,0.000,0.000
702,0.000,0.000,0.000
703,38.955,168.022,0.000
704,279.968,204.326,0.000
705,441.997,91.910,78.015
706,521.357,0.000,222.033
707,537.414,49.225,304.281
708,528.394,52.326,322.822
709,470.330,20.301,291.256
710,361.706,0.000,198.454
711,155.799,0.000,54.112
712,0.000,0.000,0.000
713,0.000,0.000,0.000
714,0.000,0.000,0.000
715,0.000,0.000,0.000
716,0.000,0.000,0.000
717,0.000,0.000,0.000
718,0.000,0.000,0.000
719,0.000,0.000,0.000
720,0.000,0.000,0.000
721,0.000,0.000,0.000
722,0.000,0.000,0.000
723,0.000,0.000,0.000
724,0.000,0.000,0.000
725,0.000,0.000,0.000
726,0.000,1.989,0.000
727,0.000,170.019,0.000
728,102.718,234.137,0.000
729,39.597,241.892,82.771
730,7.954,127.128,224.981
731,7.394,52.686,305.413
732,45.837,20.924,331.475
733,0.000,0.000,304.521
734,5.047,0.000,211.585
735,0.000,0.000,63.090
736,0.000,0.000,0.000
737,0.000,0.000,0.000
738,0.000,0.000,0.000
739,0.000,0.000,0.000
740,0.000,0.000,0.000
741,0.000,0.000,0.000
742,0.000,0.000,0.000
743,0.000,0.000,0.000
744,0.000,0.000,0.000
745,0.000,0.000,0.000
746,0.000,0.000,0.000
747,0.000,0.000,0.000
748,0.000,0.000,0.000
749,0.000,0.000,0.000
750,0.000,0.000,0.000
751,66.241,0.000,0.000
752,308.413,83.407,0.000
753,496.054,118.546,91.748
754,555.004,123.019,231.471
755,573.606,154.152,315.306
756,565.881,113.162,343.136
757,526.133,5.865,310.747
758,415.170,0.000,216.457
