,X1,X2,X3
353,-2.744279595,-199.0322236,-0.860315586
354,-2.177562274,-218.9536328,-0.0156
355,-2.036540851,-266.9180366,-0.860315271
356,-2.027829719,-259.1726106,-0.0156
357,-2.091875429,-264.535334,-0.860416873
358,-2.199276227,-355.9331436,-0.0156
359,-2.435351151,-245.8269005,-0.0156
360,-2.601464733,-155.8101342,-0.860316693
361,-2.872116553,-113.5625644,-0.0156
362,-2.953839997,-103.002694,-0.860316429
363,-3.105875795,-100.355794,-0.0156
364,-3.182255965,-116.8103393,-0.860315448
365,-3.342222456,-136.6221932,-0.0156
366,-3.540973334,-186.5990436,-0.860315197
367,-3.882524038,-317.2549687,-0.0156
368,-3.692629941,-467.1436897,-0.0156
369,-3.624487646,-382.3881185,-0.860316433
370,-4.23590046,-291.1113814,-0.0156
371,-3.58447438,-247.9637221,-0.860394062
372,-3.281278274,-203.2557118,-0.0156
373,-2.83907636,-195.924199,-0.86050966
374,-2.475502474,-186.7575188,-0.0156
375,-2.214457433,-190.7122211,-0.860351077
376,-2.26813195,-165.3602724,-0.0156
377,-3.000585553,-205.7789291,-0.86031662
378,-2.373907713,-236.0289885,-0.0156
379,-2.218717796,-281.3000414,-0.86031592
380,-2.291194145,-295.9269191,-0.0156
381,-2.416679639,-306.1659972,-0.860427118
382,-2.671006102,-413.8387475,-0.0156
383,-2.896984844,-289.6671916,-0.0156
384,-3.113828988,-118.4002672,-0.860351341
385,-3.305314619,-96.93029268,-0.0156
386,-3.464020959,-89.31446991,-0.860349085
387,-3.574182431,-87.22994028,-2.649227982
388,-3.770355561,-111.57379,-3.688737539
389,-4.124945249,-179.5472372,-5.366007951
390,-4.859843231,-301.1059868,-125.3270888
391,-4.551920264,-463.6490878,-106.4818049
392,-4.395044327,-396.5722052,-66.7061556
393,-4.076127244,-323.7132461,-46.78073042
394,-4.264176379,-259.5277914,-32.85585314
395,-3.61270064,-196.7438011,-32.25828782
396,-3.026374181,-179.2793618,-35.00572808
397,-2.62575455,-179.8932899,-23.64384558
398,-2.431949717,-181.8050012,-19.92781288
