,X1,X2,X3
753,0.249,0.249,0.249
754,0.448,0.448,0.448
755,0.605,0.605,0.605
756,0.721,0.721,0.721
757,0.636,0.636,0.636
758,0.353,0.353,0.353
759,0.226,0.226,0.226
760,0.086,0.086,0.086
761,0,0,0
762,0,0,0
763,0,0,0
764,0,0,0
765,0,0,0
766,0,0,0
767,0,0,0
768,0,0,0
769,0,0,0
770,0,0,0
771,0,0,0
772,0,0,0
773,0,0,0
774,0,0,0
775,0,0,0
776,0.059,0.059,0.059
777,0.145,0.145,0.145
778,0.333,0.333,0.333
779,0.431,0.431,0.431
780,0.624,0.624,0.624
781,0.614,0.614,0.614
782,0.436,0.436,0.436
783,0.254,0.254,0.254
784,0.066,0.066,0.066
785,0,0,0
786,0,0,0
787,0,0,0
788,0,0,0
789,0,0,0
790,0,0,0
791,0,0,0
792,0,0,0
793,0,0,0
794,0,0,0
795,0,0,0
796,0,0,0
797,0,0,0
798,0,0,0
799,0,0,0
800,0.023,0.023,0.023
801,0.089,0.089,0.089
802,0.162,0.162,0.162
803,0.464,0.464,0.464
804,0.424,0.424,0.424
805,0.425,0.425,0.425
806,0.403,0.403,0.403
807,0.237,0.237,0.237
808,0.06,0.06,0.06
809,0,0,0
810,0,0,0
811,0,0,0
812,0,0,0
813,0,0,0
814,0,0,0
815,0,0,0
816,0,0,0
817,0,0,0
818,0,0,0
819,0,0,0
820,0,0,0
821,0,0,0
822,0,0,0
823,0,0,0
824,0.036,0.036,0.036
825,0.178,0.178,0.178
826,0.511,0.511,0.511
827,0.526,0.526,0.526
828,0.606,0.606,0.606
829,0.571,0.571,0.571
830,0.315,0.315,0.315
831,0.197,0.197,0.197
832,0.061,0.061,0.061
833,0,0,0
834,0,0,0
835,0,0,0
836,0,0,0
837,0,0,0
838,0,0,0
839,0,0,0
840,0,0,0
841,0,0,0
842,0,0,0
843,0,0,0
844,0,0,0
845,0,0,0
846,0,0,0
847,0,0,0
848,0.039,0.039,0.039
849,0.23,0.23,0.23
850,0.201,0.201,0.201
851,0.288,0.288,0.288
852,0.326,0.326,0.326
853,0.104,0.104,0.104
854,0.058,0.058,0.058
855,0.091,0.091,0.091
856,0.006,0.006,0.006
857,0,0,0
858,0,0,0
859,0,0,0
860,0,0,0
861,0,0,0
862,0,0,0
863,0,0,0
864,0,0,0
865,0,0,0
866,0,0,0
867,0,0,0
868,0,0,0
869,0,0,0
870,0,0,0
871,0,0,0
872,0.02,0.02,0.02
873,0.072,0.072,0.072
874,0.092,0.092,0.092
875,0.076,0.076,0.076
876,0.054,0.054,0.054
877,0.058,0.058,0.058
878,0.054,0.054,0.054
879,0.036,0.036,0.036
880,0.009,0.009,0.009
881,0,0,0
882,0,0,0
883,0,0,0
884,0,0,0
885,0,0,0
886,0,0,0
887,0,0,0
888,0,0,0
889,0,0,0
890,0,0,0
891,0,0,0
892,0,0,0
893,0,0,0
894,0,0,0
895,0,0,0
896,0.022,0.022,0.022
897,0.04,0.04,0.04
898,0.178,0.178,0.178
899,0.35,0.35,0.35
900,0.47,0.47,0.47
901,0.2,0.2,0.2
902,0.101,0.101,0.101
903,0.238,0.238,0.238
904,0.101,0.101,0.101
905,0,0,0
906,0,0,0
907,0,0,0
908,0,0,0
909,0,0,0
910,0,0,0
911,0,0,0
912,0,0,0
913,0,0,0
914,0,0,0
915,0,0,0
916,0,0,0
917,0,0,0
918,0,0,0
919,0,0,0
920,0.109,0.109,0.109
921,0.252,0.252,0.252
922,0.167,0.167,0.167
923,0.44,0.44,0.44
