,X1,X2,X3
91,-1.74958677,-251.7150954,-63.54511241
92,-1.617416021,-277.0301194,-47.46261634
93,-1.471397486,-257.3525405,-46.17822074
94,-1.188609387,-195.858773,-26.80416012
95,-0.908137038,-130.7431782,-24.12374411
96,-0.63112984,-90.41122174,-24.12374411
97,-0.51965097,-83.05979616,-24.88976867
98,-0.47626818,-75.22617916,-25.08127481
99,-0.46424207,-75.32869945,-24.88976867
100,-0.461760275,-75.3925068,-25.08127481
101,-0.513042251,-95.62712131,-27.57018468
102,-0.71130585,-176.8882231,-30.09572467
103,-0.976262726,-234.6567955,-52.05585025
104,-0.953929254,-200.7264063,-121.9423651
105,-0.810887829,-224.5420833,-113.5937937
106,-0.806663701,-217.1702788,-111.6672003
107,-0.823009346,-217.1687697,-113.5937937
108,-0.808095939,-217.1054355,-113.0494452
109,-0.785479598,-199.0177585,-115.1992882
110,-0.786138211,-190.7391965,-111.6672003
111,-0.84980194,-199.076634,-111.6672003
112,-1.083798346,-220.5839558,-114.557927
113,-1.512456395,-195.3957196,-103.6908248
114,-1.766626287,-249.0918395,-66.11390362
115,-1.74958677,-251.9070265,-63.54511241
116,-1.617416021,-277.780981,-47.46261634
117,-1.471397486,-257.726595,-46.17822074
118,-1.188609387,-195.8138296,-26.80416012
119,-0.908137038,-130.6206649,-24.12374411
120,-0.63112984,-90.53039395,-24.12374411
121,-0.51965097,-83.09097007,-24.12374411
122,-0.47626818,-75.16520899,-24.69826253
123,-0.46424207,-75.15766095,-25.08127481
124,-0.461760275,-75.15766095,-24.88976867
125,-0.513042251,-95.40940174,-27.76169082
126,-0.71130585,-176.8020636,-30.09572467
127,-0.976262726,-234.9459534,-52.05585025
128,-0.953929254,-200.7687585,-121.9423651
129,-0.810887829,-224.4632033,-113.5937937
130,-0.806663701,-216.9559974,-111.6672003
131,-0.823009346,-216.9848527,-113.5937937
132,-0.808095939,-217.022822,-113.0494452
133,-0.785479598,-198.9852413,-115.1992882
134,-0.786138211,-190.6681211,-111.6672003
135,-0.84980194,-199.0111738,-111.6672003
136,-1.083798346,-220.4930083,-114.5570904
137,-1.512456395,-195.2910092,-103.6712075
138,-1.766626287,-248.9528833,-66.11390362
139,-1.74958677,-251.7463755,-63.54511241
140,-1.617416021,-277.0799025,-47.46261634
141,-1.471397486,-257.4669465,-46.17822074
142,-1.188609387,-195.3185813,-26.80416012
143,-0.908137038,-130.6206649,-24.12374411
144,-0.637703523,-92.80503303,-18.76291208
145,-0.523597994,-92.62467246,-18.76291208
146,-0.478879418,-75.15766095,-19.72044279
147,-0.465607474,-75.15766095,-19.52893665
148,-0.46443143,-75.15766095,-19.72044279
149,-0.517138943,-80.15584095,-19.52893665
150,-0.721931362,-144.6699968,-30.09572467
151,-0.997424088,-189.390071,-35.23330708
152,-0.986366555,-238.7176403,-61.3952694
153,-0.855918888,-244.2203192,-63.64296171
154,-0.85757993,-231.2354703,-62.679665
155,-0.875498106,-222.133234,-64.92735731
156,-0.855906445,-222.0756035,-63.64296171
157,-0.829067631,-204.0608684,-61.0741705
158,-0.825263783,-195.7454184,-32.66451588
159,-0.886860913,-204.2145389,-31.38012027
160,-1.119716265,-225.5689331,-31.70121917
161,-1.547808325,-192.71502,-23.98107004
162,-1.800936602,-258.8581086,-18.76291208
163,-1.783831525,-248.5771465,-18.76291208
164,-1.652271391,-259.8843687,-18.76291208
165,-1.507004344,-254.2145916,-18.76291208
166,-1.216902599,-205.1483171,-18.76291208
167,-0.923671883,-135.0225679,-18.76291208
168,-0.637703523,-101.8098151,-18.76291208
169,-0.523597994,-101.8098151,-19.3374305
170,-0.478879418,-84.35341579,-19.14592436
171,-0.465607474,-84.35341579,-19.52893665
172,-0.46443143,-84.35341579,-19.72044279
173,-0.517138943,-89.35159579,-19.52893665
174,-0.721931362,-145.8290414,-19.72044279
175,-0.997424088,-198.560913,-19.52893665
176,-0.986366555,-238.5885177,-19.72044279
177,-0.855918888,-234.8654277,-19.52893665
178,-0.85757993,-231.2452891,-19.72044279
179,-0.875498106,-226.9635548,-19.52893665
180,-0.855906445,-227.002501,-18.76291208
181,-0.829067631,-199.7599009,-18.76291208
182,-0.825263783,-191.4574576,-18.76291208
183,-0.886860913,-199.813439,-18.76291208
184,-1.119716265,-221.1135922,-19.3374305
185,-1.547808325,-188.1171426,-19.3374305
186,-1.800936602,-249.6623538,-19.52893665
187,-1.783831525,-248.5771465,-19.72044279
188,-1.652271391,-269.0801236,-19.52893665
189,-1.507004344,-245.0188368,-19.72044279
190,-1.216902599,-195.9525622,-19.52893665
191,-0.923671883,-135.0225679,-19.72044279
192,-0.63112984,-90.41122174,-24.88976867
193,-0.51965097,-83.05979616,-25.08127481
194,-0.47626818,-75.15766095,-24.88976867
195,-0.46424207,-75.15766095,-25.08127481
196,-0.461760275,-75.15766095,-24.88976867
197,-0.513042251,-95.40940174,-27.76169082
198,-0.71130585,-179.081518,-30.09572467
199,-0.976262726,-234.6432051,-52.05585025
200,-0.953929254,-200.7188582,-121.9423651
201,-0.810887829,-224.9693468,-113.5937937
202,-0.806663701,-217.5809268,-111.6672003
203,-0.823009346,-217.6326247,-113.5937937
204,-0.808095939,-217.6712458,-113.0494452
205,-0.785479598,-199.6288933,-115.1992882
206,-0.786138211,-191.3281822,-111.6672003
207,-0.84980194,-199.6868429,-111.6672003
208,-1.083798346,-220.9850124,-114.5570904
209,-1.512456395,-195.2825176,-103.6183322
210,-1.766626287,-248.9453352,-66.11390362
211,-1.74958677,-251.7150954,-63.54511241
212,-1.617416021,-277.0301194,-47.46261634
213,-1.471397486,-257.3525405,-46.17822074
214,-1.188609387,-195.2355437,-26.80416012
215,-0.908137038,-130.6168909,-24.12374411
